,TractCode,CountBlocks,Consumer Blocks Served Any Pro,Consumer Blocks Served Any Pro 25mbps,Prop Served By Any,Prop Served By Any 25mbps
365,47045964300,233,233,137.0,100.0,58.8
366,47045964400,266,266,180.0,100.0,67.67
367,47045964500,125,125,51.0,100.0,40.8
368,47045964600,218,218,87.0,100.0,39.91
369,47045964800,287,287,87.0,100.0,30.31
370,47045964900,179,179,99.0,100.0,55.31
371,47047060300,94,93,86.0,98.94,91.49
372,47047060401,79,78,73.0,98.73,92.41
373,47047060402,71,70,65.0,98.59,91.55
374,47047060403,109,109,102.0,100.0,93.58
375,47047060404,98,97,94.0,98.98,95.92
376,47047060501,109,109,98.0,100.0,89.91
377,47047060502,120,117,84.0,97.5,70.0
378,47047060600,125,121,86.0,96.8,68.8
379,47047060701,77,74,65.0,96.1,84.42
380,47047060702,118,117,107.0,99.15,90.68
381,47047060800,100,100,38.0,100.0,38.0
382,47049965000,199,194,158.0,97.49,79.4
383,47049965100,181,181,172.0,100.0,95.03
384,47049965200,212,210,193.0,99.06,91.04
385,47049965300,169,168,138.0,99.41,81.66
386,47051960100,394,394,393.0,100.0,99.75
387,47051960201,254,254,254.0,100.0,100.0
388,47051960202,478,477,474.0,99.79,99.16
389,47051960300,195,195,195.0,100.0,100.0
390,47051960400,419,419,419.0,100.0,100.0
391,47051960500,197,197,197.0,100.0,100.0
392,47051960600,422,422,419.0,100.0,99.29
393,47051960700,185,185,161.0,100.0,87.03
394,47051960800,235,235,235.0,100.0,100.0
395,47053966100,225,225,171.0,100.0,76.0
396,47053966200,221,221,190.0,100.0,85.97
397,47053966300,162,162,19.0,100.0,11.73
398,47053966400,266,266,221.0,100.0,83.08
399,47053966500,235,235,225.0,100.0,95.74
400,47053966600,76,76,47.0,100.0,61.84
401,47053966700,314,306,73.0,97.45,23.25
402,47053966800,129,129,123.0,100.0,95.35
403,47053966900,172,172,153.0,100.0,88.95
404,47053967000,231,231,208.0,100.0,90.04
405,47053967100,186,186,176.0,100.0,94.62
406,47053967300,147,147,147.0,100.0,100.0
