,TractCode,Less_HS_Proportion_2015,HS_Proportion_2015,Some_College_Proportion_2015,Bachelors_Proportion_2015,Less_HS_Proportion_2017,HS_Proportion_2017,Some_College_Proportion_2017,Bachelors_Proportion_2017,Less_HS_Proportion_2019,HS_Proportion_2019,Some_College_Proportion_2019,Bachelors_Proportion_2019
844,47107970401,11.49,43.34,28.42,16.75,12.78,38.73,30.64,17.85,15.13,33.03,32.53,19.31
845,47107970402,6.71,39.46,31.67,22.17,4.15,36.44,29.14,30.26,14.17,30.72,30.67,24.44
846,47161110700,14.03,42.83,26.21,16.93,11.0,42.36,28.84,17.81,12.54,40.6,26.77,20.09
847,47183968102,9.15,40.22,20.35,30.28,5.79,39.43,22.36,32.43,6.55,44.66,21.82,26.96
848,47183968201,10.69,34.08,28.75,26.48,8.92,29.66,31.62,29.81,8.07,25.67,30.83,35.43
849,47183968203,15.76,24.75,32.66,26.83,18.7,23.82,34.7,22.78,19.64,27.23,26.95,26.18
850,47183968202,24.71,23.94,30.12,21.24,31.31,27.27,17.51,23.91,39.92,25.93,16.87,17.28
851,47147080104,10.14,38.4,32.81,18.65,10.07,40.65,30.37,18.91,9.8,45.44,30.51,14.25
852,47147080604,10.62,32.48,30.0,26.9,7.35,45.61,23.29,23.75,6.05,38.85,30.31,24.79
853,47147080301,25.65,43.14,18.47,12.74,20.54,42.02,24.67,12.78,21.65,39.11,28.47,10.77
854,47147080606,10.77,40.93,27.88,20.42,11.33,36.74,33.37,18.56,13.26,28.65,38.72,19.37
855,47147080302,21.18,43.39,22.22,13.21,20.32,38.81,22.97,17.89,18.31,45.24,16.43,20.02
856,47147080603,18.55,39.45,30.84,11.16,17.02,36.77,30.41,15.8,15.01,37.23,26.22,21.55
857,47147080103,8.08,27.72,36.48,27.72,7.96,33.22,30.87,27.95,8.85,29.4,32.2,29.55
858,47147080605,14.52,42.64,30.43,12.41,13.3,47.5,30.68,8.53,11.8,42.41,31.79,14.0
859,47013951000,27.83,53.02,11.47,7.68,26.79,39.26,19.91,14.04,25.06,32.17,26.84,15.93
860,47037017902,1.87,10.74,15.42,71.96,1.62,8.9,13.79,75.69,0.75,5.16,11.5,82.6
861,47013950500,17.81,42.78,25.4,14.0,16.64,39.4,26.44,17.52,18.86,37.5,29.86,13.77
862,47013951100,29.55,40.83,19.8,9.82,17.96,43.17,25.51,13.36,14.26,41.98,28.08,15.69
863,47013950200,33.41,38.97,16.1,11.52,32.88,38.78,18.2,10.15,32.61,30.19,26.13,11.07
864,47013950700,33.31,35.36,23.14,8.19,30.93,39.63,21.3,8.14,25.45,43.42,19.45,11.69
865,47013950400,23.89,40.95,24.46,10.71,22.62,39.85,24.57,12.97,15.83,47.1,21.78,15.29
866,47013950600,27.21,44.47,20.84,7.47,23.93,45.5,22.86,7.7,23.31,43.95,25.08,7.67
867,47013950100,35.06,49.57,10.13,5.23,30.47,50.23,13.49,5.81,35.75,42.08,15.5,6.67
868,47027955000,24.99,41.94,18.5,14.57,24.61,42.62,20.56,12.21,20.95,43.26,21.77,14.02
